danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,clusterIndex
92,96,87,98,99,99,99,99,98,29,0
92,96,87,40,99,99,99,97,97,68,1
96,86,98,37,99,89,99,93,92,27,1
89,92,77,92,99,86,100,99,94,87,1
94,99,29,1,99,81,99,99,98,88,2
92,98,29,25,99,86,99,97,98,99,2
93,83,4,77,99,98,100,99,96,9,0
93,92,87,74,99,96,100,99,98,97,1
93,92,98,79,99,96,100,97,98,19,0
85,95,8,10,99,99,100,99,98,57,3
87,99,4,5,99,82,100,99,97,2,3
95,95,8,69,99,97,99,99,99,84,2
92,89,8,98,99,88,100,99,95,92,2
96,96,8,4,99,94,100,99,99,0,3
95,96,4,0,99,78,98,90,99,37,3
93,98,100,77,99,82,100,99,97,14,0
95,97,50,1,99,90,99,99,99,77,2
95,92,17,18,99,88,99,99,99,1,3
90,84,8,2,99,99,99,99,96,48,3
94,88,98,91,99,99,97,97,96,16,0
98,90,29,70,99,99,99,99,99,10,0
91,89,17,58,99,99,99,99,97,67,2
92,92,87,98,99,99,99,97,98,12,0
96,88,87,91,99,99,100,99,99,98,1
87,93,77,99,99,94,100,99,97,35,0
96,95,64,76,99,91,100,97,98,51,0
85,95,100,11,99,80,99,99,99,89,1
90,81,4,2,99,99,99,99,84,30,3
95,97,100,96,99,96,99,99,99,35,0
90,97,50,29,99,85,99,99,96,95,2
96,95,100,97,99,99,100,99,99,20,0
96,97,0,48,99,88,100,99,99,99,2
92,95,87,55,99,97,100,99,98,65,1
92,78,4,4,99,99,99,97,93,97,2
88,97,50,0,99,86,100,99,99,69,3
91,94,17,29,99,93,99,99,98,99,2
96,95,98,2,99,86,99,99,97,87,1
92,93,8,98,99,87,100,99,98,83,2
91,95,8,10,99,87,99,99,99,90,2
93,95,29,0,99,83,99,99,97,35,3
93,93,64,92,99,99,100,97,97,95,1
96,99,87,37,99,79,100,99,98,63,1
95,99,100,95,99,79,99,99,99,85,1
90,97,87,99,99,81,99,99,99,91,1
92,83,64,92,99,99,100,91,86,62,0
92,92,98,31,99,94,99,97,98,99,1
95,99,29,24,99,84,99,99,99,23,3
97,98,100,12,99,85,99,99,97,90,1
95,98,17,7,99,83,99,99,99,29,3
90,97,100,27,99,88,99,99,99,93,1
97,99,100,24,99,79,99,96,99,33,1
97,93,87,87,99,98,100,98,98,64,1
91,97,50,99,99,84,99,99,99,48,0
96,99,17,52,99,77,99,99,99,78,2
93,91,17,54,99,89,99,98,99,98,2
91,85,42,99,99,99,98,99,88,43,0
96,98,17,88,99,80,99,99,99,35,0
94,95,87,21,99,87,100,99,98,93,1
95,99,100,68,99,78,99,99,99,0,0
95,95,98,6,99,89,100,99,98,76,1
97,80,64,71,99,99,99,83,99,33,0
94,79,0,70,99,99,100,78,96,87,2
89,81,8,32,99,99,100,98,89,0,3
93,89,100,84,99,98,100,99,95,5,0
92,89,100,12,99,95,100,99,96,46,1
89,91,100,91,99,90,100,99,97,15,0
88,90,42,93,99,99,100,99,93,21,0
95,89,77,82,99,99,100,95,99,7,0
92,84,87,95,98,98,100,99,93,99,1
86,93,100,96,99,96,100,87,93,16,0
93,85,29,88,99,99,100,88,97,94,2
88,89,4,97,99,99,100,99,91,0,0
94,88,50,99,99,99,100,83,99,30,0
90,89,50,99,99,99,99,99,97,81,2
96,81,100,62,99,99,100,88,99,37,1
89,95,17,16,98,91,100,99,95,97,2
94,89,42,96,99,99,100,87,97,34,0
92,94,50,98,99,99,100,99,96,20,0
97,82,8,56,99,99,100,82,95,99,2
97,84,4,46,99,99,100,80,96,0,3
91,92,100,97,99,91,100,99,99,92,1
95,94,100,94,99,99,100,98,98,20,0
95,94,50,36,99,86,100,98,96,85,2
90,90,100,70,99,99,100,98,88,86,1
90,92,29,99,99,96,100,99,99,11,0
91,91,42,97,99,99,100,99,96,99,2
92,88,100,78,99,99,100,99,98,24,0
95,97,17,77,99,81,100,99,96,59,2
91,94,100,37,99,97,100,99,96,80,1
89,88,98,44,99,99,100,99,97,55,1
95,89,98,98,99,98,100,99,97,47,0
97,92,4,98,99,99,100,99,98,69,2
90,88,29,88,99,98,100,99,96,98,2
91,88,64,98,99,97,100,99,89,87,1
92,95,0,71,99,94,100,99,97,78,2
92,90,50,46,99,99,100,99,99,82,2
92,91,98,88,99,92,100,99,90,5,0
85,90,100,82,99,99,99,99,96,32,0
89,87,29,63,99,98,100,99,91,97,2
88,91,29,0,99,93,100,99,95,96,2
91,96,98,1,99,83,100,97,96,2,3
89,88,64,92,99,99,99,99,99,25,0
90,90,17,6,99,99,100,99,98,2,3
95,90,77,0,99,95,100,99,95,97,1
97,88,4,91,99,99,100,99,96,32,0
96,88,29,61,99,99,100,97,97,66,2
94,86,0,71,99,99,99,99,99,88,2
91,83,64,93,99,99,99,99,96,29,0
95,93,64,55,99,91,100,99,97,48,1
92,95,8,15,99,91,99,99,98,95,2
91,86,29,71,99,99,100,99,99,49,0
89,85,50,64,99,99,99,96,97,74,2
93,94,0,69,99,92,99,99,97,77,2
91,92,4,85,99,99,99,97,96,98,2
91,91,42,25,99,99,95,99,99,39,3
89,91,17,99,99,99,99,99,98,90,2
89,89,50,89,99,99,99,97,94,7,0
93,87,98,79,99,97,99,97,89,29,0
95,97,42,0,99,81,99,99,98,98,2
95,87,64,96,99,99,100,99,89,29,0
92,96,87,99,99,96,100,98,97,50,0
91,91,4,78,99,99,80,99,99,99,2
87,92,77,40,99,90,100,99,96,93,1
92,89,77,93,99,99,100,99,98,69,1
98,91,42,96,99,98,100,99,98,60,0
92,90,100,33,99,99,99,95,93,96,1
85,85,98,31,98,99,99,93,93,47,1
94,96,0,16,99,99,83,99,97,93,2
92,98,17,98,99,83,99,99,99,0,0
96,83,29,99,99,99,100,99,88,68,2
93,91,29,64,99,99,100,99,98,22,0
91,86,98,96,99,99,99,99,99,94,1
91,89,8,58,99,91,100,99,94,91,2
87,83,77,39,98,99,100,99,92,99,1
91,85,87,95,99,99,99,96,98,78,1
95,89,4,25,99,99,99,99,97,14,3
89,97,29,29,99,82,100,99,97,2,3
95,95,64,36,99,93,99,96,96,21,3
98,97,98,12,99,82,99,99,99,15,3
98,94,29,83,99,86,100,98,97,12,0
92,81,42,40,99,99,99,97,97,0,3
93,98,4,2,99,84,82,99,97,98,2
95,86,29,98,99,99,99,95,92,63,0
93,82,4,68,99,99,99,95,95,0,0
94,98,87,0,99,84,100,98,99,41,3
96,94,42,43,99,99,99,99,98,2,3
88,83,100,84,99,99,99,92,89,61,1
93,82,100,94,99,99,99,99,98,27,0
92,91,4,42,99,98,99,99,99,2,3
89,95,77,71,99,81,99,99,86,98,1
92,83,17,68,99,99,99,93,94,92,2
84,91,8,25,99,98,100,99,95,88,2
93,80,17,0,99,99,100,99,92,30,3
95,98,17,99,99,78,99,99,98,48,0
94,91,77,61,99,99,100,97,99,19,0
91,80,64,3,99,99,100,99,91,41,3
92,77,17,2,99,99,99,99,98,0,3
93,83,17,0,99,99,100,97,86,28,3
98,80,42,0,99,99,100,97,89,31,3
96,79,77,35,98,99,100,99,97,52,1
98,78,50,51,99,99,99,95,95,87,2
96,77,98,31,99,99,99,97,99,71,1
93,81,77,29,99,99,100,99,90,9,3
97,77,77,1,99,99,100,99,95,96,1
91,81,50,75,99,99,99,99,89,94,2
91,79,50,59,99,99,99,99,93,51,0
92,80,64,57,99,99,100,98,98,12,0
90,85,77,21,99,99,99,99,96,39,3
93,80,98,4,99,99,100,97,95,87,1
92,80,0,58,99,99,100,96,95,94,2
91,80,64,89,99,99,100,99,95,91,1
93,79,17,51,99,99,100,94,88,39,3
93,81,87,3,99,99,100,99,97,0,3
97,78,87,20,99,99,100,98,97,90,1
94,78,29,3,99,99,100,99,99,40,3
95,79,29,5,99,99,99,97,96,3,3
96,82,77,5,99,99,100,97,98,88,1
92,79,29,84,99,99,99,99,87,22,0
95,80,64,43,99,99,100,97,91,2,3
96,81,50,17,99,99,100,98,96,67,3
94,80,77,98,99,92,99,99,93,10,0
95,77,100,32,99,98,100,98,98,1,3
94,81,64,58,99,99,99,96,94,97,1
92,88,98,99,99,98,100,99,98,28,0
89,89,100,0,99,99,99,99,91,11,3
96,87,17,98,99,99,99,99,97,97,2
89,80,98,42,99,99,99,99,87,6,3
94,78,100,37,99,99,100,99,93,63,1
92,84,29,67,99,99,99,99,95,7,0
98,81,77,5,99,99,100,98,96,80,1
92,80,98,67,99,99,100,98,85,88,1
96,79,87,20,99,99,100,99,91,70,1
95,78,87,5,99,99,100,97,93,42,3
96,78,50,13,99,99,100,97,89,78,2
87,88,87,44,99,99,96,99,93,0,3
92,82,98,18,99,99,100,99,84,95,1
92,80,29,14,99,99,100,98,83,43,3
94,80,77,23,99,99,100,98,86,22,3
94,93,4,28,99,96,100,98,93,26,3
92,80,64,0,99,99,100,96,99,6,3
91,79,77,3,99,99,99,96,83,6,3
88,84,42,11,99,97,100,99,84,99,2
88,89,100,17,99,95,99,99,93,39,1
91,79,42,20,99,99,100,99,89,2,3
92,81,77,54,98,99,100,97,86,69,1
87,78,64,5,99,99,100,96,80,31,3
94,86,0,71,99,99,99,99,99,88,2
92,77,98,5,99,99,99,97,89,98,1
91,79,77,72,99,99,99,99,97,58,1
90,79,29,64,99,99,99,99,78,78,2
96,78,50,0,99,99,99,96,94,87,2
94,79,29,58,99,99,99,97,95,93,2
95,83,77,75,99,99,100,99,93,86,1
94,80,64,94,99,99,99,96,94,60,0
95,82,98,14,99,99,100,98,86,83,1
94,85,87,1,99,99,100,97,94,99,1
95,80,50,75,99,99,99,99,89,20,0
98,78,50,39,99,99,100,95,99,46,3
95,80,98,97,98,99,99,99,92,20,0
95,79,87,51,98,99,100,99,95,97,1
94,81,77,54,99,99,100,97,90,68,1
92,82,98,36,99,99,100,97,87,15,3
95,78,29,5,99,99,99,99,96,93,2
84,85,77,91,99,99,99,99,79,90,1
90,84,29,97,99,99,99,99,97,31,0
86,92,87,96,97,99,99,99,96,25,0
82,91,50,89,99,99,99,99,91,94,2
94,78,50,51,96,99,100,94,84,15,3
87,87,100,0,97,99,100,99,93,56,1
82,93,100,89,99,92,99,99,86,1,0
88,94,100,1,99,86,100,99,95,39,3
89,92,64,98,99,90,99,99,92,90,1
