playlistName,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,author,name
Mhe,0.566,0.366,7,-12.808,0.028,0.113,0.181,0.155,0.237,129.959,girl in red,we fell in love in october
Mhe,0.54,0.381,7,-14.323,0.0347,0.0217,0.000687,0.305,0.343,155.882,girl in red,i wanna be your girlfriend
Mhe,0.384,0.765,6,-4.463,0.0579,0.646,0.00352,0.522,0.567,129.903,Rex Orange County,Sunflower
Mhe,0.652,0.557,1,-5.714,0.0318,0.74,0,0.124,0.483,150.073,Alec Benjamin,Let Me Down Slowly
Mhe,0.469,0.08,2,-15.489,0.0425,0.897,4.22e-05,0.112,0.206,101.238,Jeremy Zucker,you were good to me (bonus track)
Mhe,0.565,0.242,2,-8.367,0.0318,0.762,9.3e-06,0.285,0.237,81.657,Ed Sheeran,Best Part of Me (feat. YEBBA)
Mhe,0.533,0.84,9,-5.283,0.167,0.234,0,0.114,0.361,116.882,NF,Hate Myself
Mhe,0.509,0.538,7,-7.335,0.0572,0.385,0,0.104,0.244,75.089,Passenger,Let Her Go
Mhe,0.511,0.566,6,-7.23,0.2,0.349,0,0.34,0.218,83.903,Juice WRLD,Lucid Dreams
Mhe,0.785,0.431,10,-8.756,0.0364,0.123,0,0.0887,0.236,127.085,Trevor Daniel,Falling
Mhe,0.708,0.186,9,-8.953,0.042,0.868,0,0.0779,0.322,72.541,Noah Cyrus,July
Mhe,0.421,0.407,10,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,Christina Perri,A Thousand Years
Mhe,0.56,0.674,10,-6.048,0.0446,0.698,0,0.123,0.421,119.942,mxmtoon,prom dress
Mhe,0.378,0.388,10,-9.017,0.036,0.472,0,0.157,0.188,72.293,Hailee Steinfeld,Wrong Direction
Mhe,0.443,0.369,9,-9.514,0.0441,0.969,0.277,0.638,0.0989,174.107,Lord Huron,The Night We Met
